DATE	ocean_colour	BGC_Argo_chl_0m_to_45m	BGC_Argo_no3_0m_to_45m	BGC_Argo_po4_0m_to_45m	BGC_Argo_POC_0m_to_45m	BGC_Argo_o2_0m_to_45m	BGC_Argo_DIC_0m_to_45m	BGC_Argo_pH_0m_to_45m
2015-01-01 12:00:00	0.654306	0.654306	1.8745081	0.37786344	0.7397747	326.7898	1229.0465	7.7280817
2015-01-02 12:00:00	0.64957416	0.64957416	1.8770975	0.3780725	0.7336549	327.16312	1229.1472	7.727585
2015-01-03 12:00:00	0.64186263	0.64186263	1.8818963	0.37845427	0.7230547	327.8819	1229.3351	7.72677
2015-01-04 12:00:00	0.6354089	0.6354089	1.8864789	0.37881863	0.71364415	328.64203	1229.648	7.725397
2015-01-05 12:00:00	0.6326196	0.6326196	1.8904934	0.37914854	0.70681703	329.46667	1229.9369	7.724125
2015-01-06 12:00:00	0.63242716	0.63242716	1.8940349	0.3794459	0.7020449	330.30554	1230.1415	7.7233205
2015-01-07 12:00:00	0.6303274	0.6303274	1.8978304	0.3797565	0.6962763	331.10736	1230.2771	7.722977
2015-01-08 12:00:00	0.62699884	0.62699884	1.9017714	0.3800726	0.68963796	331.9511	1230.4742	7.722249
2015-01-09 12:00:00	0.61699384	0.61699384	1.9066764	0.38043708	0.678221	332.73035	1230.5962	7.7212315
2015-01-10 12:00:00	0.6042992	0.6042992	1.9119266	0.38080317	0.66384983	333.44968	1230.6641	7.720174
2015-01-11 12:00:00	0.592482	0.592482	1.9170407	0.38115376	0.65027636	334.16064	1230.7996	7.7187524
2015-01-12 12:00:00	0.58696723	0.58696723	1.9212897	0.3814594	0.6410824	335.01144	1231.2141	7.7150793
2015-01-13 12:00:00	0.58060837	0.58060837	1.925632	0.38176796	0.6320674	335.94247	1231.5012	7.712064
2015-01-14 12:00:00	0.5670885	0.5670885	1.9309849	0.3821174	0.61887926	336.75348	1231.5459	7.7098255
2015-01-15 12:00:00	0.5585747	0.5585747	1.9355559	0.38241088	0.6085832	337.5116	1231.5095	7.708252
2015-01-16 12:00:00	0.55197674	0.55197674	1.9398991	0.38270086	0.59927964	338.31616	1231.585	7.7070255
2015-01-17 12:00:00	0.54992276	0.54992276	1.9434751	0.38293442	0.592425	339.0895	1231.6227	7.705338
2015-01-18 12:00:00	0.5551213	0.5551213	1.9459356	0.3831082	0.58941144	339.84183	1231.7007	7.704059
2015-01-19 12:00:00	0.5596031	0.5596031	1.9484379	0.38328376	0.58619124	340.60458	1231.7705	7.703373
2015-01-20 12:00:00	0.562879	0.562879	1.9510026	0.38345408	0.5825112	341.3288	1231.7614	7.702939
2015-01-21 12:00:00	0.562619	0.562619	1.9540612	0.38365266	0.5761995	342.02756	1231.7283	7.7026267
2015-01-22 12:00:00	0.5629505	0.5629505	1.9569546	0.38383275	0.56978565	342.63727	1231.6606	7.702254
2015-01-23 12:00:00	0.568797	0.568797	1.9590007	0.38396668	0.5661529	343.2214	1231.6748	7.701502
2015-01-24 12:00:00	0.57358843	0.57358843	1.9611536	0.38410774	0.5611826	343.7793	1231.6973	7.7008376
2015-01-25 12:00:00	0.57529	0.57529	1.9637557	0.38427782	0.5549961	344.40524	1231.674	7.7008834
2015-01-26 12:00:00	0.58137405	0.58137405	1.9655772	0.3843918	0.5506644	345.08734	1231.622	7.7007265
2015-01-27 12:00:00	0.5838352	0.5838352	1.9678719	0.38453016	0.54394	345.7017	1231.5211	7.7006702
2015-01-28 12:00:00	0.58200544	0.58200544	1.9707309	0.38468882	0.53457	346.27576	1231.2642	7.701381
2015-01-29 12:00:00	0.5791525	0.5791525	1.9738525	0.38487643	0.5249946	346.86453	1231.1426	7.701457
2015-01-30 12:00:00	0.5855304	0.5855304	1.975431	0.38495424	0.5210822	347.4577	1230.8447	7.7027993
2015-01-31 12:00:00	0.593001	0.593001	1.9767848	0.3850212	0.51831204	348.0791	1230.7167	7.70299
2015-02-01 12:00:00	0.59529185	0.59529185	1.9788404	0.38512075	0.5139099	348.58365	1230.5627	7.7028837
2015-02-02 12:00:00	0.6081622	0.6081622	1.9792117	0.38511586	0.51376784	349.18112	1230.3538	7.7036424
2015-02-03 12:00:00	0.6320329	0.6320329	1.9777507	0.38499957	0.5175848	349.82773	1230.2048	7.704064
2015-02-04 12:00:00	0.656266	0.656266	1.9761208	0.38487726	0.5203691	350.4836	1230.1299	7.7040462
2015-02-05 12:00:00	0.6837229	0.6837229	1.9738746	0.3847201	0.52306414	351.13846	1230.0947	7.703778
2015-02-06 12:00:00	0.7221837	0.7221837	1.9697158	0.38443947	0.52893305	351.7507	1230.0377	7.7034187
2015-02-07 12:00:00	0.7672031	0.7672031	1.9643154	0.3840821	0.53564376	352.31082	1229.9685	7.703076
2015-02-08 12:00:00	0.8066203	0.8066203	1.959566	0.3837667	0.53980255	352.82822	1229.7709	7.703375
2015-02-09 12:00:00	0.8588582	0.8588582	1.9526336	0.3833191	0.5459247	353.41046	1229.5762	7.704315
