DATE	non-living_particulate_organic_carbon	trophic_efficiency	net_primary_production	pH	O2	large_over_all_phytoplankton	chl_in_5m	chl_max_in_10m_to_150m	depth_of_chl_max_in_10m_to_150m
2019-01-01 12:00:00	9123.682	0.11723217	-0.06985909	8.100539	215290190.0	0.09800027	0.061186057	0.061177697	-10.54916763305664
2019-01-02 12:00:00	9115.017	0.1174662	0.15062283	8.100617	215287520.0	0.09712948	0.06067428	0.06066596	-10.54916763305664
2019-01-03 12:00:00	9100.934	0.116747566	0.14844283	8.100599	215282340.0	0.09470376	0.060878925	0.06086969	-10.54916763305664
2019-01-04 12:00:00	9089.206	0.116066635	0.14474429	8.100536	215277000.0	0.09233261	0.061320633	0.061311446	-10.54916763305664
2019-01-05 12:00:00	9079.62	0.115477435	0.14189792	8.100443	215271660.0	0.09008324	0.061492216	0.061479297	-10.54916763305664
2019-01-06 12:00:00	9071.484	0.11491486	0.14614782	8.100319	215266400.0	0.08791792	0.061894316	0.06188899	-10.54916763305664
2019-01-07 12:00:00	9064.49	0.11434474	0.13388705	8.100146	215261180.0	0.08579865	0.062239192	0.06223185	-10.54916763305664
2019-01-08 12:00:00	9059.479	0.11378127	0.15967333	8.100242	215255950.0	0.083751105	0.061898053	0.061879635	-10.54916763305664
2019-01-09 12:00:00	9060.234	0.112908326	0.17284393	8.100637	215253070.0	0.081618726	0.060991164	0.060974773	-10.54916763305664
2019-01-10 12:00:00	9067.828	0.11180108	0.19101366	8.100923	215260620.0	0.079259284	0.06073881	0.060721792	-10.54916763305664
2019-01-11 12:00:00	9082.343	0.11025391	0.24323946	8.101001	215272860.0	0.07679234	0.060961418	0.060945276	-10.54916763305664
2019-01-12 12:00:00	9107.366	0.1082907	0.24326155	8.101255	215309020.0	0.07422784	0.060951725	0.06093035	-10.54916763305664
2019-01-13 12:00:00	9144.117	0.10620416	0.27948287	8.101527	215345260.0	0.07160147	0.061346352	0.06132983	-10.54916763305664
2019-01-14 12:00:00	9193.209	0.10397104	0.26883632	8.101725	215381660.0	0.06900553	0.061996877	0.061972328	-10.54916763305664
2019-01-15 12:00:00	9253.556	0.10181634	0.29890555	8.101899	215430770.0	0.066531755	0.06255666	0.06252627	-10.54916763305664
2019-01-16 12:00:00	9326.047	0.09919689	0.36994353	8.101996	215468320.0	0.06396921	0.06376982	0.063746475	-10.54916763305664
2019-01-17 12:00:00	9415.723	0.09610072	0.40018153	8.102134	215511550.0	0.061321083	0.06537437	0.06534427	-10.54916763305664
2019-01-18 12:00:00	9524.323	0.092945546	0.41272268	8.102255	215556030.0	0.05873995	0.06710665	0.06708241	-10.54916763305664
2019-01-19 12:00:00	9651.564	0.08999381	0.41226643	8.102366	215615140.0	0.056323625	0.068609215	0.068583585	-10.54916763305664
2019-01-20 12:00:00	9796.31	0.087086074	0.45482677	8.102463	215673630.0	0.05401015	0.070330724	0.07027431	-10.54916763305664
2019-01-21 12:00:00	9958.997	0.08442603	0.38322124	8.102472	215692750.0	0.05186356	0.07307533	0.073002204	-10.54916763305664
2019-01-22 12:00:00	10133.52	0.08236945	0.40106145	8.102474	215738300.0	0.049999792	0.073912166	0.07388292	-10.54916763305664
2019-01-23 12:00:00	10320.266	0.08020694	0.44043604	8.102802	215871680.0	0.048199996	0.07415773	0.074088424	-10.54916763305664
2019-01-24 12:00:00	10525.808	0.07775877	0.5257021	8.103367	216171790.0	0.04653946	0.07321699	0.07315741	-10.54916763305664
2019-01-25 12:00:00	10753.512	0.074946254	0.585406	8.10371	216372100.0	0.045054846	0.074416526	0.074334145	-10.54916763305664
