DATE	ocean_colour	BGC_Argo_chl_0m_to_300m	BGC_Argo_no3_0m_to_300m	BGC_Argo_po4_0m_to_300m	BGC_Argo_POC_0m_to_300m	BGC_Argo_POC_300m_to_1000m	BGC_Argo_o2_0m_to_300m	BGC_Argo_o2_300m_to_1000m	BGC_Argo_DIC_0m_to_300m	BGC_Argo_DIC_300m_to_1000m	BGC_Argo_pH_0m_to_300m	BGC_Argo_pH_300m_to_1000m
2019-01-01 12:00:00	0.061183345	0.023325961	1.8072579	0.06864394	0.028507724	0.0007817518	214.93892	178.87103	2153.4795	2219.3535	8.093306	7.976856
2019-01-02 12:00:00	0.060671583	0.023217285	1.8076875	0.06865666	0.028412325	0.00077761	214.95345	178.87155	2153.4988	2219.3535	8.093357	7.9768553
2019-01-03 12:00:00	0.060876198	0.02323475	1.8083016	0.068667166	0.028451746	0.0007694125	214.98094	178.8725	2153.5317	2219.3533	8.093343	7.976854
2019-01-04 12:00:00	0.061317854	0.023246875	1.8089141	0.06867783	0.02848721	0.00076125684	215.00351	178.8735	2153.54	2219.353	8.093297	7.976852
2019-01-05 12:00:00	0.061488446	0.023243394	1.8095442	0.06868943	0.028507646	0.00075314165	215.02643	178.8745	2153.5752	2219.3525	8.093229	7.9768496
2019-01-06 12:00:00	0.06189285	0.023236588	1.8101755	0.06870115	0.028524525	0.00074506574	215.0457	178.87547	2153.598	2219.352	8.093143	7.9768476
2019-01-07 12:00:00	0.062236983	0.023233078	1.8107989	0.06871259	0.02854453	0.000737028	215.06203	178.87646	2153.626	2219.3518	8.093024	7.9768453
2019-01-08 12:00:00	0.06189195	0.023231005	1.8114322	0.06872399	0.028565934	0.0007290281	215.08598	178.87747	2153.6907	2219.351	8.093085	7.9768386
2019-01-09 12:00:00	0.060985778	0.023294488	1.8120077	0.06873123	0.028653756	0.000721065	215.12099	178.8785	2153.8015	2219.3508	8.0933485	7.9768333
2019-01-10 12:00:00	0.060733233	0.023408623	1.8125188	0.06873495	0.02879874	0.00071313867	215.15608	178.87946	2153.8662	2219.3506	8.093539	7.9768305
2019-01-11 12:00:00	0.060956217	0.023619749	1.8129208	0.06873221	0.029041346	0.0007052495	215.18983	178.8805	2153.9368	2219.35	8.093589	7.9768305
2019-01-12 12:00:00	0.060944743	0.023931393	1.8132209	0.06872284	0.029387806	0.00069739774	215.22934	178.8815	2154.021	2219.3499	8.093757	7.976821
2019-01-13 12:00:00	0.06134105	0.02428556	1.8134688	0.068710305	0.029785136	0.00068958395	215.27142	178.88249	2154.0735	2219.3494	8.093936	7.9768124
2019-01-14 12:00:00	0.061988927	0.024692362	1.8136514	0.06869392	0.030241292	0.00068180915	215.31377	178.88353	2154.114	2219.3489	8.094066	7.9768066
2019-01-15 12:00:00	0.06254702	0.02510218	1.8138218	0.06867685	0.030707326	0.00067407516	215.35675	178.88454	2154.1584	2219.3489	8.094182	7.976802
2019-01-16 12:00:00	0.063762456	0.02565219	1.8138324	0.068650365	0.0313174	0.0006663841	215.39757	178.88557	2154.185	2219.3484	8.094246	7.9767976
2019-01-17 12:00:00	0.06536449	0.026368322	1.8136736	0.06861288	0.032100387	0.0006587385	215.44281	178.88658	2154.223	2219.3477	8.094336	7.9767885
2019-01-18 12:00:00	0.067099154	0.027157187	1.8134277	0.068570025	0.032966953	0.00065114145	215.48805	178.8876	2154.2527	2219.3474	8.094413	7.9767804
2019-01-19 12:00:00	0.06860117	0.02794757	1.8131667	0.0685263	0.033847418	0.0006435962	215.53436	178.88863	2154.2837	2219.347	8.094486	7.9767747
2019-01-20 12:00:00	0.070310116	0.028786024	1.8128443	0.068478785	0.03478645	0.0006361065	215.57973	178.88966	2154.3167	2219.3464	8.094548	7.976768
2019-01-21 12:00:00	0.07305239	0.029605534	1.8125225	0.06843159	0.035719045	0.0006286753	215.61491	178.89067	2154.3398	2219.3457	8.094552	7.976763
2019-01-22 12:00:00	0.0739032	0.030264793	1.8123415	0.06839373	0.0365029	0.0006213056	215.65527	178.89171	2154.3665	2219.3457	8.094552	7.9767594
2019-01-23 12:00:00	0.07413465	0.03100706	1.8120798	0.0683503	0.037375078	0.0006139986	215.70396	178.89276	2154.4324	2219.345	8.0947695	7.9767504
2019-01-24 12:00:00	0.07319749	0.031912897	1.8116629	0.068296194	0.038414817	0.0006067538	215.77007	178.89378	2154.5645	2219.345	8.095148	7.9767437
2019-01-25 12:00:00	0.07438961	0.03304281	1.8109944	0.06822695	0.039681487	0.0005995725	215.83867	178.89485	2154.6287	2219.3445	8.095378	7.9767394
2019-01-26 12:00:00	0.07746725	0.034403037	1.8100731	0.06814212	0.04118622	0.00059245544	215.90869	178.89587	2154.693	2219.3438	8.09547	7.9767365
2019-01-27 12:00:00	0.08428037	0.035838954	1.8090322	0.06805093	0.042782616	0.0005854034	215.968	178.89691	2154.6936	2219.3435	8.095425	7.976736
2019-01-28 12:00:00	0.092446014	0.0371843	1.8080109	0.06796344	0.044308677	0.0005784163	216.00775	178.898	2154.5376	2219.3428	8.095436	7.976732
2019-01-29 12:00:00	0.101514265	0.038523536	1.8069903	0.06787551	0.045847397	0.00057149376	216.04768	178.89902	2154.4219	2219.3425	8.095432	7.9767303
2019-01-30 12:00:00	0.10925838	0.039823525	1.8060373	0.06778986	0.04736488	0.0005646353	216.09396	178.9001	2154.4563	2219.342	8.095299	7.976729
2019-01-31 12:00:00	0.11661127	0.041047093	1.8050805	0.06770709	0.048819732	0.00055784005	216.12335	178.90114	2154.2644	2219.3413	8.095336	7.976726
2019-02-01 12:00:00	0.12355818	0.042133886	1.8043045	0.06763313	0.050151054	0.0005511071	216.15659	178.90219	2154.2344	2219.3413	8.095342	7.9767227
2019-02-02 12:00:00	0.12727578	0.043161646	1.8036033	0.067562714	0.051430833	0.00054443564	216.19806	178.90324	2154.278	2219.3408	8.095442	7.976719
2019-02-03 12:00:00	0.12214878	0.044175442	1.8029082	0.06749268	0.05270578	0.00053782505	216.24619	178.90433	2154.3215	2219.34	8.095575	7.9767184
2019-02-04 12:00:00	0.10928998	0.0454399	1.8019507	0.067406416	0.054238148	0.0005312753	216.29848	178.90538	2154.3467	2219.3398	8.095672	7.9767184
2019-02-05 12:00:00	0.10707834	0.046869237	1.8008096	0.06730893	0.055941686	0.0005247872	216.35153	178.90643	2154.3687	2219.3394	8.095742	7.97672
2019-02-06 12:00:00	0.10904678	0.04835315	1.7995584	0.067206554	0.05770811	0.0005183619	216.39665	178.90752	2154.2917	2219.3386	8.095777	7.976722
2019-02-07 12:00:00	0.117175415	0.05017991	1.7979759	0.06708207	0.059833277	0.00051200215	216.44617	178.90857	2154.296	2219.3386	8.0957	7.976722
2019-02-08 12:00:00	0.12433515	0.051735558	1.796649	0.06697354	0.061709806	0.0005057111	216.49132	178.90965	2154.3115	2219.338	8.095621	7.9767203
2019-02-09 12:00:00	0.1303762	0.05304515	1.7955574	0.066879705	0.06335484	0.0004994934	216.52745	178.91074	2154.3237	2219.3376	8.095556	7.97672
2019-02-10 12:00:00	0.13504443	0.054020304	1.794796	0.066806436	0.06467511	0.00049335393	216.55717	178.91182	2154.3337	2219.337	8.09553	7.9767203
2019-02-11 12:00:00	0.13016754	0.054688655	1.7943532	0.066752635	0.0656905	0.00048729847	216.59448	178.91289	2154.3901	2219.3364	8.095621	7.9767203
2019-02-12 12:00:00	0.12292153	0.055776786	1.7934976	0.06667271	0.06711714	0.00048133265	216.64705	178.91397	2154.4475	2219.3362	8.095805	7.9767227
2019-02-13 12:00:00	0.12674727	0.057558	1.7919291	0.06654856	0.06923565	0.0004754621	216.69974	178.91504	2154.4763	2219.3357	8.095861	7.9767275
2019-02-14 12:00:00	0.13369706	0.059412688	1.7902578	0.06641845	0.07144545	0.00046969147	216.74466	178.91615	2154.4946	2219.3354	8.095826	7.9767303
2019-02-15 12:00:00	0.1400247	0.060765415	1.7890595	0.066318646	0.07317438	0.00046402522	216.78697	178.91722	2154.5012	2219.3347	8.095763	7.9767346
2019-02-16 12:00:00	0.14463529	0.061463185	1.788438	0.06625841	0.07425451	0.0004584682	216.8029	178.9183	2154.2832	2219.3342	8.095894	7.976739
2019-02-17 12:00:00	0.14879785	0.061963636	1.7880342	0.06621112	0.07513224	0.0004530262	216.8177	178.91939	2154.0771	2219.334	8.095927	7.9767437
2019-02-18 12:00:00	0.1522753	0.062368304	1.7878122	0.066171676	0.07590461	0.00044770824	216.841	178.92049	2154.082	2219.3335	8.095808	7.9767475
2019-02-19 12:00:00	0.1545735	0.06269966	1.7876841	0.06613763	0.07659075	0.00044252697	216.86029	178.92157	2154.1003	2219.333	8.095691	7.976749
2019-02-20 12:00:00	0.15569791	0.062770456	1.787834	0.06612082	0.07700371	0.00043750097	216.87558	178.92267	2154.1306	2219.3323	8.095604	7.976751
2019-02-21 12:00:00	0.15577085	0.062643796	1.7882133	0.06611764	0.077204265	0.00043265495	216.90051	178.92378	2154.2095	2219.332	8.0957155	7.9767523
2019-02-22 12:00:00	0.15263821	0.062429607	1.7886993	0.066121064	0.077301644	0.00042802002	216.93158	178.92488	2154.2715	2219.3315	8.095888	7.976757
2019-02-23 12:00:00	0.14600575	0.06259609	1.7888154	0.06610151	0.077761844	0.00042363282	216.96332	178.92596	2154.3186	2219.331	8.095869	7.9767656
2019-02-24 12:00:00	0.1446653	0.06296559	1.7887313	0.06606968	0.07841542	0.00041953297	216.99428	178.92708	2154.3484	2219.3303	8.095836	7.9767694
2019-02-25 12:00:00	0.1391676	0.06330676	1.7886872	0.06604019	0.07903116	0.00041576117	217.03049	178.92815	2154.3855	2219.3298	8.095916	7.976773
2019-02-26 12:00:00	0.14232633	0.06407423	1.7882069	0.06598392	0.080064565	0.00041235576	217.0656	178.92928	2154.4072	2219.3296	8.095845	7.9767804
2019-02-27 12:00:00	0.14170088	0.06507117	1.7875059	0.06591328	0.08132707	0.0004093502	217.1082	178.93036	2154.479	2219.3293	8.095889	7.9767814
2019-02-28 12:00:00	0.14132166	0.066504754	1.786354	0.0658145	0.0830306	0.0004067704	217.16121	178.93149	2154.54	2219.3289	8.096031	7.976784
