DATE	ocean_colour	BGC_Argo_chl_0m_to_50m	BGC_Argo_no3_0m_to_50m	BGC_Argo_po4_0m_to_50m	BGC_Argo_POC_0m_to_50m	BGC_Argo_o2_0m_to_50m	BGC_Argo_DIC_0m_to_50m	BGC_Argo_pH_0m_to_50m
2014-06-01 12:00:00	2.3702652	2.3702652	3.1232653	0.23160793	23.143768	258.4826	2590.4236	8.091909
2014-06-02 12:00:00	2.4014919	2.4014919	3.14086	0.23254229	22.95486	258.268	2590.6003	8.091157
2014-06-03 12:00:00	2.4249618	2.4249618	3.1792283	0.23465535	22.435642	257.77106	2590.9253	8.089774
2014-06-04 12:00:00	2.4353597	2.4353597	3.2167225	0.23673213	21.593134	257.3063	2591.2122	8.088624
2014-06-05 12:00:00	2.4846702	2.4846702	3.2441683	0.23817986	20.437136	256.94995	2590.863	8.088052
2014-06-06 12:00:00	2.6344829	2.6344829	3.250047	0.23828793	19.11958	256.76465	2591.109	8.087272
2014-06-07 12:00:00	2.807489	2.807489	3.244281	0.23774984	17.735903	256.60388	2591.253	8.08606
2014-06-08 12:00:00	2.9908628	2.9908628	3.2282166	0.23667733	16.44048	256.45538	2591.166	8.084735
2014-06-09 12:00:00	3.2137692	3.2137692	3.1976948	0.23480342	15.445729	256.37332	2590.9976	8.083625
2014-06-10 12:00:00	3.3810387	3.3810387	3.1698806	0.2332306	15.37633	256.24246	2590.867	8.082486
2014-06-11 12:00:00	3.4841142	3.4841142	3.1519895	0.2323814	18.158264	256.05066	2590.6858	8.081613
2014-06-12 12:00:00	3.5486643	3.5486643	3.1432838	0.23216344	21.04382	255.79436	2590.744	8.080325
2014-06-13 12:00:00	3.5029495	3.5029495	3.1528842	0.23312727	21.592295	255.37555	2590.924	8.078655
2014-06-14 12:00:00	3.4551005	3.4551005	3.1650198	0.23417382	21.562325	254.95836	2591.112	8.07688
2014-06-15 12:00:00	3.4172304	3.4172304	3.1777403	0.23516469	21.497578	254.5469	2591.3203	8.075247
2014-06-16 12:00:00	3.3414183	3.3414183	3.199023	0.23662597	21.426481	254.09021	2591.5125	8.073631
2014-06-17 12:00:00	3.25969	3.25969	3.2250779	0.238303	21.341448	253.64096	2591.719	8.072099
2014-06-18 12:00:00	3.2339313	3.2339313	3.245368	0.23952083	21.241411	253.3042	2591.96	8.070741
2014-06-19 12:00:00	3.2450547	3.2450547	3.259897	0.24031356	21.111721	253.00717	2592.1404	8.0692625
2014-06-20 12:00:00	3.264285	3.264285	3.272063	0.24092789	20.924116	252.71806	2592.247	8.0676565
2014-06-21 12:00:00	3.3043969	3.3043969	3.2787304	0.24117671	20.64186	252.4612	2592.3687	8.066232
2014-06-22 12:00:00	3.3396854	3.3396854	3.2842906	0.24135126	20.279417	252.2378	2592.4656	8.06486
2014-06-23 12:00:00	3.3744624	3.3744624	3.2892509	0.24149764	20.020834	252.01947	2592.5398	8.063342
2014-06-24 12:00:00	3.4262152	3.4262152	3.2913182	0.24147399	20.108482	251.82666	2592.5864	8.061862
2014-06-25 12:00:00	3.4380057	3.4380057	3.298668	0.24182944	20.414026	251.59818	2592.6665	8.060345
2014-06-26 12:00:00	3.375067	3.375067	3.3170462	0.24294144	20.593662	251.30013	2592.8909	8.059103
2014-06-27 12:00:00	3.1976616	3.1976616	3.3552358	0.24536034	20.614332	250.86836	2593.2273	8.058277
2014-06-28 12:00:00	3.0097558	3.0097558	3.4027734	0.24831304	20.5593	250.40025	2593.372	8.05727
2014-06-29 12:00:00	2.896059	2.896059	3.445227	0.250838	20.459118	249.98277	2593.452	8.056137
2014-06-30 12:00:00	2.8174517	2.8174517	3.4866674	0.25323015	20.316305	249.58794	2593.7622	8.054685
2014-07-01 12:00:00	2.7668626	2.7668626	3.526347	0.2554689	20.129326	249.20537	2594.1252	8.052988
2014-07-02 12:00:00	2.7193244	2.7193244	3.5670557	0.25775537	19.879053	248.7883	2594.2896	8.051521
2014-07-03 12:00:00	2.743548	2.743548	3.5967607	0.2593212	19.51752	248.46684	2594.583	8.049904
2014-07-04 12:00:00	2.8132277	2.8132277	3.6160126	0.26024503	18.956318	248.17958	2594.7878	8.048138
2014-07-05 12:00:00	2.8175807	2.8175807	3.6398635	0.26153162	18.097898	247.8443	2594.9177	8.046899
2014-07-06 12:00:00	2.7523215	2.7523215	3.6711292	0.26335016	17.042173	247.42609	2594.8884	8.04582
2014-07-07 12:00:00	2.8166997	2.8166997	3.6777382	0.26364434	15.901767	247.24455	2595.0706	8.044666
2014-07-08 12:00:00	2.8854191	2.8854191	3.6766298	0.26356608	14.819608	247.1199	2595.148	8.043855
2014-07-09 12:00:00	2.9260657	2.9260657	3.6753602	0.26359653	14.12157	246.99423	2595.139	8.042975
2014-07-10 12:00:00	3.0490685	3.0490685	3.6576352	0.2626802	15.071227	246.98306	2595.209	8.042432
2014-07-11 12:00:00	3.1396103	3.1396103	3.6433678	0.2621095	17.942553	246.8627	2595.321	8.041633
2014-07-12 12:00:00	3.1575692	3.1575692	3.645922	0.26252577	19.079252	246.59845	2595.4272	8.040419
2014-07-13 12:00:00	3.0671883	3.0671883	3.6737223	0.2643805	19.128857	246.1615	2595.6855	8.039211
2014-07-14 12:00:00	2.927817	2.927817	3.7188554	0.26720536	19.028757	245.63579	2596.091	8.037922
2014-07-15 12:00:00	2.825277	2.825277	3.7658377	0.2700562	18.87865	245.12093	2596.567	8.036838
2014-07-16 12:00:00	2.7348332	2.7348332	3.8158283	0.27303258	18.704054	244.55579	2596.9797	8.035325
2014-07-17 12:00:00	2.6736825	2.6736825	3.8639424	0.27582866	18.512945	243.9838	2597.371	8.033661
2014-07-18 12:00:00	2.6307278	2.6307278	3.910955	0.2785119	18.296354	243.42056	2597.6812	8.031943
2014-07-19 12:00:00	2.5835574	2.5835574	3.9587488	0.2812324	18.036522	242.81058	2597.4395	8.030675
2014-07-20 12:00:00	2.522517	2.522517	4.009019	0.28409567	17.666113	242.26315	2597.6028	8.029305
2014-07-21 12:00:00	2.501957	2.501957	4.0522623	0.28649744	17.064947	241.78004	2597.8496	8.028064
2014-07-22 12:00:00	2.5314512	2.5314512	4.0850277	0.28824708	16.269995	241.38332	2598.1191	8.026977
2014-07-23 12:00:00	2.6089308	2.6089308	4.1065326	0.28933623	15.53726	241.05951	2598.299	8.025787
2014-07-24 12:00:00	2.7135687	2.7135687	4.1192765	0.28996256	15.272287	240.78021	2598.407	8.024614
2014-07-25 12:00:00	2.7627287	2.7627287	4.136282	0.2909745	15.806074	240.44977	2598.4338	8.023651
2014-07-26 12:00:00	2.7859292	2.7859292	4.1570654	0.29226097	16.422352	240.12775	2598.4968	8.022635
2014-07-27 12:00:00	2.8139212	2.8139212	4.1773252	0.2934808	16.59383	239.80397	2598.6755	8.021575
2014-07-28 12:00:00	2.798516	2.798516	4.205801	0.29516506	16.52385	239.44897	2598.9324	8.0208235
2014-07-29 12:00:00	2.7545247	2.7545247	4.240741	0.29721054	16.38815	239.13417	2599.1772	8.02065
2014-07-30 12:00:00	2.7238986	2.7238986	4.275216	0.2991824	16.234009	238.87424	2599.4622	8.020271
2014-07-31 12:00:00	2.6866033	2.6866033	4.3118434	0.30126375	16.062994	238.58391	2599.7964	8.019649
2014-08-01 12:00:00	2.6427002	2.6427002	4.350132	0.30343586	15.872574	238.28033	2600.1428	8.019028
2014-08-02 12:00:00	2.5798316	2.5798316	4.392127	0.30583382	15.642054	237.94037	2600.39	8.018389
2014-08-03 12:00:00	2.521302	2.521302	4.4341416	0.30822298	15.320822	237.58649	2600.107	8.018242
2014-08-04 12:00:00	2.5142365	2.5142365	4.4671016	0.31002304	14.817909	237.39307	2600.4854	8.018049
2014-08-05 12:00:00	2.5054963	2.5054963	4.497301	0.31166878	14.08405	237.18742	2600.803	8.017556
2014-08-06 12:00:00	2.482726	2.482726	4.526455	0.3132966	13.263373	236.8953	2600.4045	8.017267
2014-08-07 12:00:00	2.458801	2.458801	4.5543284	0.31489938	12.528887	236.62198	2600.3694	8.016691
2014-08-08 12:00:00	2.484801	2.484801	4.573802	0.31604058	12.393962	236.39471	2600.5725	8.016048
2014-08-09 12:00:00	2.4860322	2.4860322	4.597102	0.31752354	13.79583	236.09172	2600.8386	8.015386
2014-08-10 12:00:00	2.4483545	2.4483545	4.6307735	0.31965658	14.561503	235.80145	2601.192	8.015289
2014-08-11 12:00:00	2.421595	2.421595	4.6669526	0.3218549	14.505069	235.49265	2601.0352	8.015546
2014-08-12 12:00:00	2.4612656	2.4612656	4.695772	0.3234905	14.401258	235.11394	2601.3499	8.0158
2014-08-13 12:00:00	2.5410311	2.5410311	4.718851	0.32471678	14.330019	234.78159	2601.691	8.016123
2014-08-14 12:00:00	2.6706862	2.6706862	4.7333884	0.32537493	14.289211	234.56085	2601.917	8.0162115
2014-08-15 12:00:00	2.8103936	2.8103936	4.743674	0.32577276	14.259294	234.35466	2601.9802	8.016235
2014-08-16 12:00:00	2.925514	2.925514	4.7545357	0.3262179	14.216869	234.15265	2602.0662	8.016429
2014-08-17 12:00:00	2.960456	2.960456	4.773883	0.32721886	14.08819	233.87329	2602.3345	8.016307
2014-08-18 12:00:00	2.941773	2.941773	4.798474	0.3285515	13.835738	233.5748	2602.653	8.016288
2014-08-19 12:00:00	2.9919436	2.9919436	4.806959	0.3288594	13.4057865	233.46002	2602.8716	8.016552
2014-08-20 12:00:00	3.0160728	3.0160728	4.811921	0.32899213	12.772285	233.3554	2603.0835	8.016671
2014-08-21 12:00:00	2.9626946	2.9626946	4.8244567	0.32967985	12.065066	233.15123	2603.3306	8.016543
2014-08-22 12:00:00	2.8537037	2.8537037	4.845635	0.33099014	11.452859	232.86365	2603.6685	8.016257
2014-08-23 12:00:00	2.8025668	2.8025668	4.8614464	0.3319663	11.329631	232.65575	2603.977	8.015908
2014-08-24 12:00:00	2.8055117	2.8055117	4.8691635	0.33247942	12.309474	232.50082	2604.2266	8.015539
2014-08-25 12:00:00	2.7152925	2.7152925	4.892855	0.33408523	13.205937	232.1803	2604.4243	8.014997
2014-08-26 12:00:00	2.5859513	2.5859513	4.9287925	0.33639276	13.409271	231.76418	2604.1675	8.014485
2014-08-27 12:00:00	2.5561562	2.5561562	4.954424	0.33788338	13.393394	231.47092	2604.0356	8.013671
2014-08-28 12:00:00	2.5305834	2.5305834	4.9802976	0.33934775	13.319086	231.13077	2604.0735	8.0128
2014-08-29 12:00:00	2.5242894	2.5242894	5.0042386	0.34065685	13.241662	230.83673	2604.0679	8.011942
2014-08-30 12:00:00	2.571944	2.571944	5.0183787	0.34133005	13.191996	230.61954	2604.2517	8.011313
2014-08-31 12:00:00	2.6139054	2.6139054	5.0307956	0.34193203	13.126643	230.44646	2604.4065	8.010818
2014-09-01 12:00:00	2.693443	2.693443	5.0340896	0.34194112	13.061368	230.33138	2604.5198	8.010472
2014-09-02 12:00:00	2.6715171	2.6715171	5.048507	0.34270218	12.857259	230.02684	2604.651	8.010048
2014-09-03 12:00:00	2.5611699	2.5611699	5.076866	0.34434515	12.426683	229.61488	2604.8914	8.009617
2014-09-04 12:00:00	2.4423676	2.4423676	5.107923	0.34614792	11.826747	229.17477	2605.1492	8.008693
2014-09-05 12:00:00	2.3275144	2.3275144	5.141412	0.34811592	11.201389	228.68747	2605.4575	8.007505
2014-09-06 12:00:00	2.2168803	2.2168803	5.1785645	0.35033953	10.938406	228.17653	2605.7795	8.006284
2014-09-07 12:00:00	2.122855	2.122855	5.217769	0.35272062	11.726411	227.67778	2606.0981	8.004915
2014-09-08 12:00:00	2.0590024	2.0590024	5.2564673	0.35504952	12.133787	227.21817	2606.4282	8.003719
2014-09-09 12:00:00	2.015845	2.015845	5.295235	0.35731882	12.006903	226.78922	2606.7888	8.002616
2014-09-10 12:00:00	1.9890852	1.9890852	5.333463	0.35950673	11.82322	226.35957	2607.129	8.001387
2014-09-11 12:00:00	1.9731307	1.9731307	5.3715105	0.36165735	11.629119	225.944	2607.5015	8.000477
2014-09-12 12:00:00	1.9673002	1.9673002	5.4090047	0.36375695	11.434878	225.53928	2607.9268	7.9998145
2014-09-13 12:00:00	1.9876486	1.9876486	5.442627	0.36559585	11.261149	225.17612	2608.2761	7.999071
2014-09-14 12:00:00	2.0140667	2.0140667	5.4743986	0.36731926	11.093186	224.82175	2608.578	7.9982004
2014-09-15 12:00:00	2.0749383	2.0749383	5.4991755	0.3686051	10.93636	224.57024	2608.853	7.997628
2014-09-16 12:00:00	2.1926365	2.1926365	5.5113115	0.369106	10.729435	224.49106	2609.0356	7.9972925
2014-09-17 12:00:00	2.327069	2.327069	5.5151505	0.369108	10.322982	224.44337	2609.1191	7.996785
2014-09-18 12:00:00	2.4648209	2.4648209	5.5109544	0.36865652	9.783852	224.38733	2609.147	7.996021
2014-09-19 12:00:00	2.5603993	2.5603993	5.506249	0.3682624	9.208982	224.38101	2609.016	7.9954343
2014-09-20 12:00:00	2.6568098	2.6568098	5.4948597	0.3675262	8.741773	224.36313	2608.8513	7.9947777
2014-09-21 12:00:00	2.7238312	2.7238312	5.4808645	0.36671898	8.464112	224.25696	2608.7295	7.9941263
2014-09-22 12:00:00	2.7601736	2.7601736	5.4665227	0.36596444	8.80912	224.08177	2608.668	7.9936237
2014-09-23 12:00:00	2.7815866	2.7815866	5.4510064	0.36518517	9.926937	223.88487	2608.6802	7.9931765
2014-09-24 12:00:00	2.6856477	2.6856477	5.454701	0.36563584	10.524504	223.55386	2608.801	7.9923425
2014-09-25 12:00:00	2.5497713	2.5497713	5.4732714	0.36689508	10.590007	223.13864	2609.078	7.991751
2014-09-26 12:00:00	2.488966	2.488966	5.4883432	0.36776203	10.568149	222.80379	2609.3286	7.9913425
2014-09-27 12:00:00	2.4275124	2.4275124	5.5077906	0.36886194	10.505153	222.45128	2609.5217	7.9905624
2014-09-28 12:00:00	2.3708138	2.3708138	5.530759	0.3701284	10.424027	222.0967	2609.7065	7.989666
2014-09-29 12:00:00	2.2829103	2.2829103	5.562264	0.3719332	10.298675	221.68684	2609.9673	7.9887686
2014-09-30 12:00:00	2.1778731	2.1778731	5.600696	0.3741582	10.12897	221.24007	2610.2444	7.987817
2014-10-01 12:00:00	2.091546	2.091546	5.640143	0.37640664	9.912578	220.81415	2610.5615	7.987015
2014-10-02 12:00:00	2.0307317	2.0307317	5.677865	0.37851492	9.597246	220.37831	2610.8354	7.986147
2014-10-03 12:00:00	1.9735091	1.9735091	5.7154818	0.38062268	9.14506	219.95355	2611.1365	7.9853806
2014-10-04 12:00:00	1.9253225	1.9253225	5.7520247	0.38268206	8.664228	219.56654	2611.451	7.984855
2014-10-05 12:00:00	1.9486878	1.9486878	5.777179	0.38406375	8.506358	219.36299	2611.4758	7.9851613
2014-10-06 12:00:00	2.0592566	2.0592566	5.7865047	0.38450608	8.968145	219.62985	2611.6199	7.9859405
2014-10-07 12:00:00	2.1641378	2.1641378	5.794685	0.3849012	9.133167	220.18483	2610.6953	7.987955
2014-10-08 12:00:00	2.2951438	2.2951438	5.800393	0.3851025	9.03736	221.46269	2610.385	7.9897933
2014-10-09 12:00:00	2.3909457	2.3909457	5.8117557	0.38563088	8.90288	223.29156	2610.163	7.991486
2014-10-10 12:00:00	2.4559948	2.4559948	5.827211	0.38639358	8.7519	225.3991	2609.7915	7.9932046
2014-10-11 12:00:00	2.5298436	2.5298436	5.8394537	0.38694435	8.610072	227.3413	2609.6587	7.9942956
2014-10-12 12:00:00	2.6100018	2.6100018	5.848394	0.38728958	8.477189	229.0932	2609.6406	7.99483
2014-10-13 12:00:00	2.645931	2.645931	5.861852	0.38793007	8.337423	230.66655	2609.635	7.9954
2014-10-14 12:00:00	2.5706184	2.5706184	5.888408	0.38939205	8.15393	231.9348	2608.32	7.997368
2014-10-15 12:00:00	2.5500417	2.5500417	5.9083424	0.39042568	7.950839	233.18733	2608.1006	7.998233
2014-10-16 12:00:00	2.5590594	2.5590594	5.920563	0.39098454	7.6544423	234.19438	2607.912	7.998784
2014-10-17 12:00:00	2.5620759	2.5620759	5.9306197	0.39142475	7.2888584	235.26637	2607.4575	7.9994745
2014-10-18 12:00:00	2.584545	2.584545	5.9364777	0.39163527	6.8960786	236.25705	2607.1345	8.000066
2014-10-19 12:00:00	2.566038	2.566038	5.9471593	0.39219528	6.5388026	237.14915	2606.6284	8.00069
2014-10-20 12:00:00	2.575142	2.575142	5.954002	0.39255488	6.2844715	238.08145	2606.5396	8.001196
2014-10-21 12:00:00	2.628184	2.628184	5.9530993	0.39247406	6.2233706	239.03928	2606.4612	8.002115
2014-10-22 12:00:00	2.6684616	2.6684616	5.953896	0.39254367	6.803775	239.95633	2606.294	8.003792
2014-10-23 12:00:00	2.692371	2.692371	5.9577484	0.39280534	7.291125	240.84998	2606.4187	8.005652
2014-10-24 12:00:00	2.6506681	2.6506681	5.972422	0.39369094	7.3316364	241.56741	2606.448	8.006622
2014-10-25 12:00:00	2.59613	2.59613	5.990681	0.39473853	7.2631245	242.17346	2606.3838	8.00716
2014-10-26 12:00:00	2.5882752	2.5882752	6.002991	0.39536893	7.1919904	242.81964	2606.4885	8.008022
2014-10-27 12:00:00	2.6043103	2.6043103	6.0112634	0.395726	7.124712	243.4802	2606.576	8.008916
2014-10-28 12:00:00	2.633234	2.633234	6.0166893	0.39589474	7.060301	244.10147	2606.5789	8.009661
