2006-12-16 12:00:00     4      5
0.0 6.87 0.443 4.349 0.201
-10.0 5.897 0.428 3.832 0.148
-25.0 5.636 0.421 3.732 0.139
-50.0 5.472 0.423 3.645 0.138
2007-01-16 12:00:00     4      5
0.0 8.015 0.508 4.374 0.27
-10.0 7.406 0.512 4.011 0.216
-25.0 6.983 0.504 3.764 0.192
-50.0 6.702 0.508 3.633 0.203
2007-02-16 12:00:00     4      5
0.0 7.908 0.512 4.107 0.249
-10.0 7.622 0.52 3.693 0.164
-25.0 7.285 0.512 3.532 0.148
-50.0 7.053 0.511 3.414 0.135
2007-03-16 12:00:00     4      5
0.0 6.826 0.452 3.367 0.32
-10.0 6.599 0.464 2.997 0.227
-25.0 6.45 0.474 2.986 0.235
-50.0 6.317 0.477 2.908 0.254
2007-04-16 12:00:00     4      5
0.0 3.475 0.277 1.819 0.379
-10.0 3.832 0.308 1.786 0.373
-25.0 4.24 0.36 1.895 0.603
-50.0 4.358 0.381 1.94 0.689
2007-05-16 12:00:00     4      5
0.0 0.472 0.117 0.838 0.287
-10.0 0.456 0.111 0.666 0.286
-25.0 0.871 0.18 0.882 0.616
-50.0 1.113 0.225 1.003 0.847
2007-06-16 12:00:00     4      5
0.0 0.097 0.075 0.47 0.181
-10.0 0.06 0.059 0.371 0.257
-25.0 0.161 0.097 0.61 0.607
-50.0 0.33 0.172 1.115 1.06
2007-07-16 12:00:00     4      5
0.0 0.15 0.047 0.579 0.185
-10.0 0.075 0.042 0.577 0.189
-25.0 0.477 0.128 1.18 0.977
-50.0 0.837 0.196 1.728 1.663
2007-08-16 12:00:00     4      5
0.0 0.203 0.062 1.435 0.353
-10.0 0.195 0.047 1.046 0.355
-25.0 0.886 0.147 1.853 1.127
-50.0 1.48 0.239 2.591 1.68
2007-09-16 12:00:00     4      5
0.0 0.878 0.121 2.066 0.387
-10.0 0.711 0.123 1.804 0.307
-25.0 1.404 0.191 2.123 0.626
-50.0 2.263 0.253 2.822 0.781
2007-10-16 12:00:00     4      5
0.0 2.93 0.257 3.111 0.308
-10.0 2.456 0.258 2.699 0.226
-25.0 2.579 0.269 2.677 0.221
-50.0 2.679 0.281 2.765 0.26
2007-11-16 12:00:00     4      5
0.0 5.021 0.352 3.679 0.211
-10.0 4.786 0.362 3.402 0.129
-25.0 4.359 0.354 3.151 0.11
-50.0 4.238 0.358 3.138 0.122
2007-12-16 12:00:00     4      5
0.0 6.87 0.443 4.349 0.201
-10.0 5.897 0.428 3.832 0.148
-25.0 5.636 0.421 3.732 0.139
-50.0 5.472 0.423 3.645 0.138
2008-01-16 12:00:00     4      5
0.0 8.015 0.508 4.374 0.27
-10.0 7.406 0.512 4.011 0.216
-25.0 6.983 0.504 3.764 0.192
-50.0 6.702 0.508 3.633 0.203
2008-02-16 12:00:00     4      5
0.0 7.908 0.512 4.107 0.249
-10.0 7.622 0.52 3.693 0.164
-25.0 7.285 0.512 3.532 0.148
-50.0 7.053 0.511 3.414 0.135
2008-03-16 12:00:00     4      5
0.0 6.826 0.452 3.367 0.32
-10.0 6.599 0.464 2.997 0.227
-25.0 6.45 0.474 2.986 0.235
-50.0 6.317 0.477 2.908 0.254
2008-04-16 12:00:00     4      5
0.0 3.475 0.277 1.819 0.379
-10.0 3.832 0.308 1.786 0.373
-25.0 4.24 0.36 1.895 0.603
-50.0 4.358 0.381 1.94 0.689
2008-05-16 12:00:00     4      5
0.0 0.472 0.117 0.838 0.287
-10.0 0.456 0.111 0.666 0.286
-25.0 0.871 0.18 0.882 0.616
-50.0 1.113 0.225 1.003 0.847
2008-06-16 12:00:00     4      5
0.0 0.097 0.075 0.47 0.181
-10.0 0.06 0.059 0.371 0.257
-25.0 0.161 0.097 0.61 0.607
-50.0 0.33 0.172 1.115 1.06
2008-07-16 12:00:00     4      5
0.0 0.15 0.047 0.579 0.185
-10.0 0.075 0.042 0.577 0.189
-25.0 0.477 0.128 1.18 0.977
-50.0 0.837 0.196 1.728 1.663
2008-08-16 12:00:00     4      5
0.0 0.203 0.062 1.435 0.353
-10.0 0.195 0.047 1.046 0.355
-25.0 0.886 0.147 1.853 1.127
-50.0 1.48 0.239 2.591 1.68
2008-09-16 12:00:00     4      5
0.0 0.878 0.121 2.066 0.387
-10.0 0.711 0.123 1.804 0.307
-25.0 1.404 0.191 2.123 0.626
-50.0 2.263 0.253 2.822 0.781
2008-10-16 12:00:00     4      5
0.0 2.93 0.257 3.111 0.308
-10.0 2.456 0.258 2.699 0.226
-25.0 2.579 0.269 2.677 0.221
-50.0 2.679 0.281 2.765 0.26
2008-11-16 12:00:00     4      5
0.0 5.021 0.352 3.679 0.211
-10.0 4.786 0.362 3.402 0.129
-25.0 4.359 0.354 3.151 0.11
-50.0 4.238 0.358 3.138 0.122
2008-12-16 12:00:00     4      5
0.0 6.87 0.443 4.349 0.201
-10.0 5.897 0.428 3.832 0.148
-25.0 5.636 0.421 3.732 0.139
-50.0 5.472 0.423 3.645 0.138
2009-01-16 12:00:00     4      5
0.0 8.015 0.508 4.374 0.27
-10.0 7.406 0.512 4.011 0.216
-25.0 6.983 0.504 3.764 0.192
-50.0 6.702 0.508 3.633 0.203
2009-02-16 12:00:00     4      5
0.0 7.908 0.512 4.107 0.249
-10.0 7.622 0.52 3.693 0.164
-25.0 7.285 0.512 3.532 0.148
-50.0 7.053 0.511 3.414 0.135
2009-03-16 12:00:00     4      5
0.0 6.826 0.452 3.367 0.32
-10.0 6.599 0.464 2.997 0.227
-25.0 6.45 0.474 2.986 0.235
-50.0 6.317 0.477 2.908 0.254
2009-04-16 12:00:00     4      5
0.0 3.475 0.277 1.819 0.379
-10.0 3.832 0.308 1.786 0.373
-25.0 4.24 0.36 1.895 0.603
-50.0 4.358 0.381 1.94 0.689
2009-05-16 12:00:00     4      5
0.0 0.472 0.117 0.838 0.287
-10.0 0.456 0.111 0.666 0.286
-25.0 0.871 0.18 0.882 0.616
-50.0 1.113 0.225 1.003 0.847
2009-06-16 12:00:00     4      5
0.0 0.097 0.075 0.47 0.181
-10.0 0.06 0.059 0.371 0.257
-25.0 0.161 0.097 0.61 0.607
-50.0 0.33 0.172 1.115 1.06
2009-07-16 12:00:00     4      5
0.0 0.15 0.047 0.579 0.185
-10.0 0.075 0.042 0.577 0.189
-25.0 0.477 0.128 1.18 0.977
-50.0 0.837 0.196 1.728 1.663
2009-08-16 12:00:00     4      5
0.0 0.203 0.062 1.435 0.353
-10.0 0.195 0.047 1.046 0.355
-25.0 0.886 0.147 1.853 1.127
-50.0 1.48 0.239 2.591 1.68
2009-09-16 12:00:00     4      5
0.0 0.878 0.121 2.066 0.387
-10.0 0.711 0.123 1.804 0.307
